NAMESPACE           NAME
default             billing-engine-secrets
ingress-nginx       ingress-nginx-admission
kube-system         k3s-serving
kube-system         shopnoltd-pc-1.node-password.k3s
shopno-apps         chatwoot-secret
shopno-apps         code-server-secret
shopno-apps         gitea-secret
shopno-apps         kobo-brevo-smtp
shopno-apps         kobotoolbox-secret
shopno-apps         kobotoolbox-smtp
shopno-apps         metabase-secret
shopno-apps         n8n-secret
shopno-apps         nextcloud-secret
shopno-apps         onlyoffice-secret
shopno-apps         owncast-secret
shopno-apps         superset-db-uri
shopno-apps         superset-secret
shopno-data         minio-secret
shopno-data         mongo-secret
shopno-data         opensearch-secret
shopno-data         postgres-secret
shopno-data         redis-secret
shopno-identity     auth-service-keycloak-admin
shopno-identity     auth-service-secret
shopno-identity     keycloak-secret
shopno-identity     oauth-provider-credentials
shopno-identity     oauth-service-secret
shopno-ingress      cloudflared-creds
shopno-mail         mail-db-secret
shopno-mail         mail-secrets
shopno-mail         mail-service-secret
shopno-monitoring   alertmanager-secret
shopno-monitoring   grafana-secret
shopno-monitoring   loki-secret
shopno-monitoring   prometheus-secret
shopno-payments     billing-engine-secret
shopno-payments     postgres-secret
shopno-platform     admin-portal-secret
shopno-platform     ai-platform-encryption
shopno-platform     ai-platform-secret
shopno-platform     analytics-service-secret
shopno-platform     android-portal-secret
shopno-platform     api-service-secret
shopno-platform     audit-service-secret
shopno-platform     domain-service-secret
shopno-platform     event-service-secret
shopno-platform     foundation-service-secret
shopno-platform     freedomain-service-secret
shopno-platform     gateway-secret
shopno-platform     interior-service-secret
shopno-platform     license-service-secret
shopno-platform     mobile-api-secret
shopno-platform     notification-service-secret
shopno-platform     report-service-secret
shopno-platform     search-service-secret
shopno-platform     shopno-wildcard-tls
shopno-platform     storage-service-secret
shopno-platform     tenant-router-secret
shopno-platform     training-service-secret
shopno-platform     web-portal-secret
shopno-platform     worker-service-secret
