NAMESPACE           NAME                       READY   UP-TO-DATE   AVAILABLE   AGE
ingress-nginx       ingress-nginx-controller   1/1     1            1           18d
kube-system         coredns                    2/2     2            2           18d
kube-system         local-path-provisioner     1/1     1            1           18d
kube-system         metrics-server             1/1     1            1           135m
shopno-apps         chatwoot                   1/1     1            1           18d
shopno-apps         code-server                1/1     1            1           18d
shopno-apps         enketo                     1/1     1            1           12d
shopno-apps         gitea                      1/1     1            1           18d
shopno-apps         kobotoolbox                1/1     1            1           15d
shopno-apps         kobotoolbox-worker         1/1     1            1           5d1h
shopno-apps         metabase                   1/1     1            1           18d
shopno-apps         n8n                        1/1     1            1           18d
shopno-apps         nextcloud                  1/1     1            1           18d
shopno-apps         onlyoffice                 1/1     1            1           18d
shopno-apps         owncast                    3/3     3            3           18d
shopno-apps         superset                   1/1     1            1           18d
shopno-data         minio                      1/1     1            1           18d
shopno-data         mongo                      1/1     1            1           16d
shopno-data         opensearch                 1/1     1            1           18d
shopno-data         postgres                   1/1     1            1           18d
shopno-data         redis                      1/1     1            1           18d
shopno-identity     auth-service               3/3     3            3           18d
shopno-identity     keycloak                   1/1     1            1           18d
shopno-identity     oauth-service              1/1     1            1           18d
shopno-ingress      cloudflared                1/1     1            1           18d
shopno-mail         mail-service               1/1     1            1           15d
shopno-monitoring   alertmanager               1/1     1            1           18d
shopno-monitoring   grafana                    1/1     1            1           18d
shopno-monitoring   loki                       1/1     1            1           18d
shopno-monitoring   prometheus                 1/1     1            1           18d
shopno-payments     billing-engine             1/1     1            1           18d
shopno-platform     admin-portal               1/1     1            1           18d
shopno-platform     ai-platform                1/1     1            1           18d
shopno-platform     analytics-service          1/1     1            1           18d
shopno-platform     android-portal             1/1     1            1           18d
shopno-platform     api-service                1/1     1            1           18d
shopno-platform     audit-service              1/1     1            1           18d
shopno-platform     domain-service             1/1     1            1           18d
shopno-platform     event-service              1/1     1            1           18d
shopno-platform     foundation-service         1/1     1            1           18d
shopno-platform     freedomain-service         1/1     1            1           18d
shopno-platform     gateway                    1/1     1            1           18d
shopno-platform     interior-service           1/1     1            1           18d
shopno-platform     license-service            1/1     1            1           18d
shopno-platform     mobile-api                 1/1     1            1           18d
shopno-platform     notification-service       1/1     1            1           18d
shopno-platform     report-service             1/1     1            1           18d
shopno-platform     search-service             1/1     1            1           18d
shopno-platform     shopnoltd-web              1/1     1            1           3d4h
shopno-platform     storage-service            1/1     1            1           18d
shopno-platform     tenant-router              1/1     1            1           18d
shopno-platform     training-service           1/1     1            1           18d
shopno-platform     web-portal                 1/1     1            1           18d
shopno-platform     worker-service             1/1     1            1           18d
