NAMESPACE           NAME                        STATUS    VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   VOLUMEATTRIBUTESCLASS   AGE
shopno-apps         chatwoot-data               Bound     pvc-d2c38bf4-e1b5-4251-8586-5990e1bc3924   10Gi       RWO            standard       <unset>                 18d
shopno-apps         code-server-data            Bound     pvc-39499166-ce8e-4d26-8535-e903d9580f2a   10Gi       RWO            standard       <unset>                 18d
shopno-apps         gitea-data                  Bound     pvc-da6cc36e-c0eb-4e07-9cb2-ea36dfc6f5e5   10Gi       RWO            standard       <unset>                 18d
shopno-apps         gitea-etc                   Bound     pvc-3f343259-62c2-4630-85e4-af8d4b00ebdc   100Mi      RWO            local-path     <unset>                 2d11h
shopno-apps         kobotoolbox-data            Bound     pvc-83054d0b-9da9-4c93-9655-78156970d363   10Gi       RWO            standard       <unset>                 15d
shopno-apps         metabase-data               Bound     pvc-77c06dd7-d18d-4c5c-aa37-07cb156ea473   10Gi       RWO            standard       <unset>                 18d
shopno-apps         n8n-data                    Bound     pvc-0421823a-0a24-4794-98c3-c7788c581ec2   10Gi       RWO            standard       <unset>                 18d
shopno-apps         nextcloud-data              Bound     pvc-417fdfa7-3c76-40fd-aa1f-fbed29947d81   10Gi       RWO            standard       <unset>                 18d
shopno-apps         onlyoffice-data             Bound     pvc-338048cf-0460-4d21-92db-84645a76aa43   10Gi       RWO            standard       <unset>                 18d
shopno-apps         owncast-data                Bound     pvc-ef6b2714-74cf-4f0b-b07e-4cb23c71962a   10Gi       RWO            standard       <unset>                 18d
shopno-apps         superset-data               Bound     pvc-26d80b7d-bfb4-410d-b5e8-6bb870fb25e9   10Gi       RWO            standard       <unset>                 18d
shopno-data         minio-data                  Bound     pvc-fc12fd64-70d1-49f1-8f93-11176a39d0b9   10Gi       RWO            standard       <unset>                 18d
shopno-data         mongo-pvc                   Bound     pvc-8cbffc0d-0554-4fb1-9377-5741b917f813   10Gi       RWO            local-path     <unset>                 16d
shopno-data         opensearch-data             Bound     pvc-44a33110-8690-4ff6-82be-294fffbd3584   10Gi       RWO            standard       <unset>                 18d
shopno-data         postgres-data               Bound     pvc-050fcf96-ab48-43b0-b6ff-b1cf5bde37e4   10Gi       RWO            standard       <unset>                 18d
shopno-data         redis-data                  Bound     pvc-45020294-1dee-48d1-a318-f7f145227fff   10Gi       RWO            standard       <unset>                 18d
shopno-identity     auth-service-data           Bound     pvc-c829c70c-e6ed-4e03-8d79-e16c7d64ad52   10Gi       RWO            standard       <unset>                 18d
shopno-identity     keycloak-data               Bound     pvc-c1eaedf2-e7fe-4661-b11e-2782acb5e851   10Gi       RWO            standard       <unset>                 18d
shopno-identity     oauth-service-data          Bound     pvc-f3c60520-858b-4b03-81ed-c744d5db8c9a   10Gi       RWO            standard       <unset>                 18d
shopno-mail         mail-data                   Pending                                                                        local-path     <unset>                 5d11h
shopno-monitoring   alertmanager-data           Bound     pvc-187cbb1b-cd0c-4575-95b3-64a83cbe48e4   10Gi       RWO            standard       <unset>                 18d
shopno-monitoring   grafana-data                Bound     pvc-8974d908-20d9-4b82-a63d-fb87582c6ba9   10Gi       RWO            standard       <unset>                 18d
shopno-monitoring   loki-data                   Bound     pvc-fb3acde9-d345-469c-8ebb-6650553ebb63   10Gi       RWO            standard       <unset>                 18d
shopno-monitoring   prometheus-data             Bound     pvc-2a190981-9237-4e8f-8697-643c251bc048   10Gi       RWO            standard       <unset>                 18d
shopno-payments     billing-engine-data         Pending                                                                        standard       <unset>                 5d11h
shopno-platform     admin-portal-data           Bound     pvc-8af196a0-f370-47a4-93b7-df93a54a983e   10Gi       RWO            standard       <unset>                 18d
shopno-platform     ai-platform-data            Bound     pvc-ac542cb8-2ac1-4050-befc-37ba3b571fd0   10Gi       RWO            standard       <unset>                 18d
shopno-platform     analytics-service-data      Bound     pvc-e9a4c077-ba5a-4aa3-8c38-88a16e69643a   10Gi       RWO            standard       <unset>                 18d
shopno-platform     android-portal-data         Bound     pvc-541c7ef5-3b58-4a4c-9fcb-a943942e6d21   10Gi       RWO            standard       <unset>                 18d
shopno-platform     api-service-data            Bound     pvc-b3dc973f-04b3-4211-9535-112f0db9c32e   10Gi       RWO            standard       <unset>                 18d
shopno-platform     audit-service-data          Bound     pvc-822c6fbb-ca4a-4d8d-a78b-af18b58d3c0b   10Gi       RWO            standard       <unset>                 18d
shopno-platform     domain-service-data         Bound     pvc-f6911410-4fd6-4209-a60a-46801cc96e32   10Gi       RWO            standard       <unset>                 18d
shopno-platform     event-service-data          Bound     pvc-e298e814-e76f-480d-8d49-14ba39309784   10Gi       RWO            standard       <unset>                 18d
shopno-platform     foundation-service-data     Bound     pvc-95142174-4578-49ba-a305-4f1036d59925   10Gi       RWO            standard       <unset>                 18d
shopno-platform     freedomain-service-data     Bound     pvc-607294b1-b179-4799-9139-4379ff60b824   10Gi       RWO            standard       <unset>                 18d
shopno-platform     gateway-data                Bound     pvc-da1f0af6-bd05-4548-85ba-b411df6344ce   10Gi       RWO            standard       <unset>                 18d
shopno-platform     interior-service-data       Bound     pvc-881b35b8-24b1-491a-844d-5b4bafe071f9   10Gi       RWO            standard       <unset>                 18d
shopno-platform     license-service-data        Bound     pvc-da62ab0c-1e73-4787-b89e-b4c3cde11357   10Gi       RWO            standard       <unset>                 18d
shopno-platform     mobile-api-data             Bound     pvc-26abffd0-6b6d-4f67-bd18-8d95e83c8f98   10Gi       RWO            standard       <unset>                 18d
shopno-platform     notification-service-data   Bound     pvc-815258b3-d0ac-46f5-ad33-a602d1061ccc   10Gi       RWO            standard       <unset>                 18d
shopno-platform     report-service-data         Bound     pvc-99ce9b23-0293-4c97-8643-35a106df1e38   10Gi       RWO            standard       <unset>                 18d
shopno-platform     search-service-data         Bound     pvc-f6b36f7e-ad8e-4151-8f9f-accc34186846   10Gi       RWO            standard       <unset>                 18d
shopno-platform     storage-service-data        Bound     pvc-c36cec46-25cf-492f-903b-5394e1367db7   10Gi       RWO            standard       <unset>                 18d
shopno-platform     tenant-router-data          Bound     pvc-98ccd345-f72c-4d7e-97ce-f620911e19a0   10Gi       RWO            standard       <unset>                 18d
shopno-platform     training-service-data       Bound     pvc-72d4e924-e729-4774-9ff3-477c2c3c45e4   10Gi       RWO            standard       <unset>                 18d
shopno-platform     web-portal-data             Bound     pvc-198633d1-c38e-40a2-9c85-422f7b7b6126   10Gi       RWO            standard       <unset>                 18d
shopno-platform     worker-service-data         Bound     pvc-5ec53f5f-92f4-4a16-a60d-ec50a13ca6e0   10Gi       RWO            standard       <unset>                 18d
