NAMESPACE           NAME                                 TYPE           CLUSTER-IP      EXTERNAL-IP                           PORT(S)                  AGE    SELECTOR
default             kubernetes                           ClusterIP      10.43.0.1       <none>                                443/TCP                  18d    <none>
ingress-nginx       ingress-nginx-controller             ClusterIP      10.43.250.239   <none>                                80/TCP,443/TCP           18d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx       ingress-nginx-controller-admission   ClusterIP      10.43.34.199    <none>                                443/TCP                  18d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
kube-system         kube-dns                             ClusterIP      10.43.0.10      <none>                                53/UDP,53/TCP,9153/TCP   18d    k8s-app=kube-dns
kube-system         metrics-server                       ClusterIP      10.43.110.80    <none>                                443/TCP                  135m   k8s-app=metrics-server
shopno-apps         chatwoot                             ClusterIP      10.43.18.118    <none>                                80/TCP                   18d    app.kubernetes.io/name=chatwoot
shopno-apps         code-server                          ClusterIP      10.43.197.165   <none>                                80/TCP                   18d    app.kubernetes.io/name=code-server
shopno-apps         enketo                               ClusterIP      10.43.253.204   <none>                                8005/TCP                 12d    app.kubernetes.io/name=enketo
shopno-apps         gitea                                ClusterIP      10.43.245.184   <none>                                80/TCP                   18d    app.kubernetes.io/name=gitea
shopno-apps         kobotoolbox                          ClusterIP      10.43.167.21    <none>                                80/TCP                   11d    app.kubernetes.io/component=web,app.kubernetes.io/name=kobotoolbox
shopno-apps         metabase                             ClusterIP      10.43.215.129   <none>                                80/TCP                   18d    app.kubernetes.io/name=metabase
shopno-apps         mongo                                ExternalName   <none>          mongo.shopno-data.svc.cluster.local   <none>                   16d    <none>
shopno-apps         n8n                                  ClusterIP      10.43.4.249     <none>                                80/TCP                   18d    app.kubernetes.io/name=n8n
shopno-apps         nextcloud                            ClusterIP      10.43.112.61    <none>                                80/TCP                   18d    app.kubernetes.io/name=nextcloud
shopno-apps         onlyoffice                           ClusterIP      10.43.123.136   <none>                                80/TCP                   18d    app.kubernetes.io/name=onlyoffice
shopno-apps         owncast                              ClusterIP      10.43.211.201   <none>                                80/TCP                   18d    app.kubernetes.io/name=owncast
shopno-apps         superset                             ClusterIP      10.43.183.238   <none>                                80/TCP                   18d    app.kubernetes.io/name=superset
